id_dossier;libelle_etiquette
4481547;"Produit bancaire"
4481548;"Coord employeur"
4481548;"Produit bancaire"
4481549;"Coord employeur"
4481549;"Produit bancaire"
4481550;"Coord employeur"
4481550;"Produit bancaire"
4481551;"Produit bancaire"
4481552;"Coord employeur"
4481552;"Produit bancaire"
4481553;"Coord employeur"
4481553;"Produit bancaire"
4481554;"Coord employeur"
4481554;"Produit bancaire"
4481555;"Coord employeur"
4481555;"Produit bancaire"
4481556;"Produit bancaire"
4481557;"Coord employeur"
4481557;"Produit bancaire"
4481558;"Coord employeur"
4481558;"Produit bancaire"
4481559;"Coord employeur"
4481559;"Produit bancaire"
4481560;"Coord employeur"
4481560;"Produit bancaire"
4481561;"Produit bancaire"
4481562;"Coord employeur"
4481562;"Produit bancaire"
4481563;"Coord employeur"
4481563;"Produit bancaire"
4481564;"Coord employeur"
4481564;"Produit bancaire"
4481565;"Coord employeur"
4481565;"Produit bancaire"
4481566;"Coord employeur"
4481566;"Produit bancaire"
4481567;"Coord employeur"
4481567;"Produit bancaire"
4481568;"Coord employeur"
4481568;"Produit bancaire"
4481569;"Coord employeur"
4481569;"Produit bancaire"
4481570;"Produit bancaire"
4481571;"Coord employeur"
4481571;"Produit bancaire"
4481572;"Coord employeur"
4481572;"Produit bancaire"
4481573;"Coord employeur"
4481573;"Produit bancaire"
4481574;"Coord employeur"
4481574;"Produit bancaire"
4481575;"Coord employeur"
4481575;"Produit bancaire"
4481576;"Produit bancaire"
4481577;"Coord employeur"
4481577;"Produit bancaire"
4481578;"Produit bancaire"
4481579;"Coord employeur"
4481579;"Produit bancaire"
4481580;"Coord employeur"
4481580;"Produit bancaire"
4481581;"Produit bancaire"
4481582;"Coord employeur"
4481582;"Produit bancaire"
4481583;"Coord employeur"
4481583;"Produit bancaire"
4481584;"Coord employeur"
4481584;"Produit bancaire"
4481585;"Coord employeur"
4481585;"Produit bancaire"
4481586;"Produit bancaire"
4481587;"Coord employeur"
4481587;"Produit bancaire"
4481588;"Coord employeur"
4481588;"Produit bancaire"
4481589;"Produit bancaire"
4481590;"Coord employeur"
4481590;"Produit bancaire"
4481591;"Produit bancaire"
4481592;"Coord employeur"
4481592;"Produit bancaire"
4481593;"Produit bancaire"
