id_dossier;montant_reglement;date_reglement;type_reglement
4751982;415.99;2018-09-27;VIRT
4751983;51.76;2019-07-04;VIRT
4751991;66.4;2018-09-27;VIRT
4752020;93.92;2018-06-27;VIRT
4752022;10300;2018-08-31;OD
4752045;10;2019-06-10;PRLVT
4752050;99.6;2018-07-27;VIRT
4752052;33.2;2018-04-27;VIRT
4752085;100;2018-01-30;CB
4752143;19.92;2018-08-28;VIRT
4752145;86.16;2019-06-13;VIRT
4752146;57.57;2019-06-18;VIRT
4752147;43.82;2019-06-18;VIRT
4752164;170.86;2019-06-12;VIRT
4752175;132.8;2018-11-28;VIRT
4752203;50;2018-06-28;CHQ
4752221;1681.76;2018-01-10;VIRT
4752223;2000;2018-02-02;VIRT
4752275;6972;2018-06-27;VIRT
4752287;177.14;2019-07-16;VIRT
4752291;4304;2018-01-03;VIRT
4752294;45;2017-12-29;"REGT CLIENT"
4752303;500;2018-03-14;VIRT
4752314;72.4;2019-07-12;VIRT
4752323;66.4;2018-04-27;VIRT
4752328;559.87;2018-02-20;VIRT
4752329;14.48;2019-06-07;VIRT
4752354;222.62;2019-07-16;VIRT
4752376;50;2018-03-09;CB
4752396;66.4;2018-06-27;VIRT
4752401;66.4;2018-07-27;VIRT
4752439;201.11;2019-07-17;VIRT
4752464;50;2018-03-22;VIRT
4752499;149.33;2019-07-11;VIRT
4752529;70;2018-02-01;CB
4752531;99.01;2018-03-29;CB
4752591;89.8;2019-07-16;VIRT
4752592;144.8;2019-07-16;VIRT
4752595;136.58;2019-07-01;CB
4752596;59.08;2019-05-31;VIRT
4752604;100;2019-03-28;CB
4752605;19.92;2018-07-27;VIRT
4752620;50;2018-03-05;CB
4752626;20;2019-05-09;VIRT
4752659;13.28;2018-10-29;VIRT
4752662;20;2019-05-23;CB
4752674;144.8;2019-07-09;VIRT
4752688;33.2;2019-02-27;VIRT
4752698;106.9;2018-04-27;VIRT
4752699;79.68;2018-04-27;VIRT
4752702;85.43;2019-06-06;VIRT
4752742;500;2018-03-07;CB
4752760;597.6;2018-12-28;VIRT
4752764;50;2018-01-17;CHQ
4752772;300;2017-12-29;"REGT CLIENT"
4752849;75.24;2018-03-29;CB
4752859;33.2;2018-04-27;VIRT
4752862;100;2018-02-18;PRLVT
4752882;50;2018-01-02;CB
4752912;16.6;2018-11-28;VIRT
4752948;125.98;2019-07-05;VIRT
4752950;33.2;2018-11-28;VIRT
4752979;66.4;2018-08-28;VIRT
4753022;33.6;2019-01-31;VIRT
4753030;686.14;2019-06-12;VIRT
4753039;48.23;2019-06-07;VIRT
4753041;2461.74;2018-07-27;VIRT
4753048;15;2019-05-02;CB
4753049;15;2019-05-02;CB
4753087;39.84;2018-06-27;VIRT
4753107;39.84;2018-10-29;VIRT
4753112;464.8;2018-05-29;VIRT
4753125;33.2;2018-09-27;VIRT
4753126;6.64;2018-10-29;VIRT
4753177;115.61;2019-07-09;VIRT
4753190;19.92;2018-10-29;VIRT
4753192;132.8;2018-12-28;VIRT
4753204;10;2018-03-06;CB
4753217;10;2019-06-05;PRLVT
4753237;50;2018-02-06;CB
4753245;3800;2017-12-29;"REGT CLIENT"
4753255;49.23;2019-07-17;VIRT
4753267;74.74;2019-07-12;VIRT
4753275;77.32;2018-01-24;CB
4753292;73.16;2019-07-16;VIRT
4753297;50;2018-02-07;CB
4753298;33.2;2018-07-27;VIRT
4753302;30;2018-01-05;CB
4753348;45.17;2018-01-08;CB
4753351;10;2018-03-18;PRLVT
4753353;60.09;2017-12-29;"REGT CLIENT"
4753369;30;2018-10-08;CB
4753370;70;2018-02-16;CB
4753436;500;2018-01-22;CB
4753437;50;2018-01-05;CB
